"Proposal #","full proposal title","Project Title","PI","PI Unit","Status","Sponsor","Prime Sponsor","Admin Unit","Project Start Date","Project End Date","Proposal Type","Instrument Type","Project #","Created Date.x","Total Sponsor Costs","Sponsor Deadline","academic affairs","activity type","History Action Day and Comment","Actual_Submission_Date","Actual_Udr_Consid_Date","Actual_Funding_Date","Actual_Not_Funding_Date","Actual_Submission_FY","Actual_Udr_Consid_FY","Actual_Funding_FY","Actual_Not_Funding_FY","Created Date.y","Proposal_Creation_FY","Days_to_Submission","Days_to_Funding_From_Submission","Days_to_Non_Funding_From_Submission","Actual_Submission_Month_Year","College/Division","Actual_Submission_Quarter","Actual_Funding_Quarter","Sponsor_Type_Grouped","Sponsor_Category","Submission_Status","Submission_Count","Award_Count","Total_Submission_Count","Received_Total_Sponsor_Costs"
"23-0006-P0002","Weed Biology, Ecology, and Management in Sugarbeet","Weed Biology, Ecology, and Management in Sugarbeet","Andrew R. Kniss","Plant Sciences","Funded","Western Sugar Cooperative",,"Plant Sciences","4/1/2012","4/30/2027","Supplement",,"23-0006",2024-04-09 09:56:51,32500,"1/22/2024 12:00:00 AM",,"Applied Research","4/23/2024 01:18:30 PM: after the fact form >> 6/13/2024 02:16:00 PM: OSP has check. Should be processed as a modification/increase to A0001.",2024-04-23 13:18:30,,2024-06-13 14:16:00,,"FY2024",,"FY2024",,2024-04-09 09:56:51,"FY2024",14,51,,"April-2024","Agriculture","Q4 FY2024","Q4 FY2024","Others","Others","Funded",0,1,1,32500
"23-0006-P0003","Weed Biology, Ecology, and Management in Sugarbeet","Weed Biology, Ecology, and Management in Sugarbeet","Andrew R. Kniss","Plant Sciences","Funded","Western Sugar Cooperative",,"Plant Sciences","4/1/2025","4/1/2029","Supplement",,"23-0006",2025-04-01 11:25:04,28500,"4/1/2025 12:00:00 AM",,"Applied Research","4/4/2025 09:00:44 AM: edits >> 4/18/2025 11:54:24 AM: Updating form fields >> 4/18/2025 03:14:55 PM: Check sent to OSP. >> 4/18/2025 03:15:23 PM: Check sent to OSP. Increase and Extension of A0001",2025-04-18 15:14:55,,2025-04-18 15:15:23,,"FY2025",,"FY2025",,2025-04-01 11:25:04,"FY2025",17,0,,"April-2025","Agriculture","Q4 FY2025","Q4 FY2025","Business","Others","Funded",0,1,1,28500
"23-0066-P0002","Tracking Plant Diversity within Northern Great Plains Parks","Plant Species Verification and Checklists for Northern Great Plains Parks","Bonnie L Heidel","Wyo Natural Diversity Database","Funded","National Park Service/Department of the Interior",,"Wyo Natural Diversity Database","9/3/2024","8/31/2028","New",,"23-0066",2024-06-03 07:00:13,129493,"7/3/2024 12:00:00 AM",,"Applied Research","6/25/2024 07:45:30 AM: Couple fixes >> 7/18/2024 09:31:34 AM: Submitted 7/2/2024 in GrantSolutions. >> 7/18/2024 09:31:45 AM: Funded.",2024-07-18 09:31:34,,2024-07-18 09:39:21,,"FY2025",,"FY2025",,2024-06-03 07:00:13,"FY2024",45,0,,"July-2024","Research & Economic Development","Q1 FY2025","Q1 FY2025","Federal","Others","Funded",0,1,1,129493
"23-0308-P0002","Supplement for Wyoming King Air as a National Facility (CA8)","Wyoming King Air as a National Facility (CA8)","Jeffrey R. French","Atmospheric Science","Submitted to Sponsor","National Science Foundation",,"Atmospheric Science","9/1/2025","8/31/2026","Supplement",,"23-0308",2025-06-08 16:00:15,2718164,"6/10/2025 12:00:00 AM",,"Basic Research","6/11/2025 04:21:48 PM: Submitted to Sponsor: NSF 2535912",2025-06-11 16:21:48,,,,"FY2025",,,,2025-06-08 16:00:15,"FY2025",3,,,"June-2025","Engineering","Q4 FY2025",,"Federal","NSF","Submitted",1,0,1,0
"23-0367-P0002","Chronic Disease Prevention Network Regional Coordinators","Chronic Disease Prevention Network Regional Coordinators - Region 1","Christine L. McKibbin","Psychology","Under Consideration","Wyoming Department of Health","Centers for Disease Control and Prevention/Department of Health and Human Services","Psychology","6/30/2025","6/29/2027","Renewal",,"23-0367",2025-06-17 13:34:27,925808.88,"6/30/2025 12:00:00 AM",,"Other Sponsored Activity","6/17/2025 01:59:05 PM: Moved to 23-0367-P0002 to hold under the same project umbrella. >> 6/17/2025 01:59:55 PM: Closed the wrong one. >> 6/25/2025 04:28:28 PM: The contract is under review with the agreement review team (EK) >> 6/25/2025 04:28:36 PM: The contract is under review with the agreement review team (EK)",2025-06-25 16:28:28,2025-06-25 16:28:36,,,"FY2025","FY2025",,,2025-06-17 13:34:27,"FY2025",8,,,"June-2025","Arts & Sciences","Q4 FY2025",,"State","Others","Submitted",1,0,1,0
"23-0392-P0002","Geospatial Services - WISDOM","Geospatial Services - WISDOM & Wyoming Migration Initiative Viewer","Shannon E. Albeke","Wyoming Geographic Information Science Center","Funded","Wyoming Game and Fish Department",,"Wyoming Geographic Information Science Center","7/1/2024","6/30/2029","Non-Competing Continuation",,"23-0392",2025-05-27 14:02:58,100000,"6/10/2025 12:00:00 AM",,"Other Sponsored Activity","5/29/2025 04:34:17 PM: update form fields >> 6/3/2025 11:17:57 AM: Post Submission review >> 6/3/2025 11:18:09 AM: Post-Submission Review >> 6/27/2025 11:07:57 AM: funded",2025-06-03 11:17:57,2025-06-03 11:18:09,2025-06-27 11:07:57,,"FY2025","FY2025","FY2025",,2025-05-27 14:02:58,"FY2025",7,24,,"June-2025","Engineering","Q4 FY2025","Q4 FY2025","State","Others","Funded",0,1,1,100000
"23-0421-P0002","SUPPLEMENT: CAREER: Commercial Building Indoor Greenery Systems' Effects on Thermal Environment and Occupant Comfort under Climate Change","CAREER: Commercial Building Indoor Greenery Systems' Effects on Thermal Environment and Occupant Comfort under Climate Change","Liping Wang","Civil & Architectural Engineering & Construction Management","Funded","National Science Foundation",,"Civil & Architectural Engineering & Construction Management","11/1/2024","10/31/2025","Supplement",,"23-0421",2024-10-28 05:56:16,30000,"10/28/2024 12:00:00 AM",,"Basic Research","11/4/2024 02:45:26 PM: Submitted 10/28/2024 >> 5/5/2025 03:53:03 PM: Funding increase amendment was attached to the award record and the amendment was funded.",2024-11-04 14:45:26,,2025-05-05 15:53:03,,"FY2025",,"FY2025",,2024-10-28 05:56:16,"FY2025",8,182,,"November-2024","Engineering","Q2 FY2025","Q4 FY2025","Federal","NSF","Funded",0,1,1,30000
"23-0446-P0002","Hazardous Materials Commodity Flow Study 2022-2025","Hazardous Materials Commodity Flow Study 2019-2021","Yu Song","Civil & Architectural Engineering & Construction Management","Funded","Wyoming Office of Homeland Security",,"Civil & Architectural Engineering & Construction Management","10/1/2022","9/30/2025","New",,"23-0446",2024-06-26 13:06:23,40000,"8/27/2024 12:00:00 AM",,"Applied Research","8/23/2024 09:08:07 AM: Updating fields >> 9/4/2024 01:00:25 PM: Post-submission review.  Agreement under review. >> 9/4/2024 01:00:39 PM: See award shell for details on agreement review >> 9/25/2024 04:04:35 PM: Funded.",2024-09-04 13:00:25,2024-09-04 13:00:39,2024-09-25 16:04:35,,"FY2025","FY2025","FY2025",,2024-06-26 13:06:23,"FY2024",70,21,,"September-2024","Engineering","Q1 FY2025","Q1 FY2025","Federal","Others","Funded",0,1,1,40000
"23-0456-P0003","Wyoming NASA Space Grant Consortium  FY 2024 – 2025 5th Year Funding Extension and Augmentation","National Space Grant College and Fellowship Program - Opportunities in NASA STEM FY 2020-2024: Wyoming NASA Space Grant Consortium Proposal","Shawna M. McBride","Physics & Astronomy","Funded","National Aeronautics and Space Administration",,"Physics & Astronomy","6/10/2024","6/9/2025","Supplement",,"23-0456",2023-07-19 14:39:39,910000,"8/18/2023 12:00:00 AM",,"Instruction","8/18/2023 11:16:56 AM: Rerouting as approvers are OOO. >> 8/18/2023 11:17:35 AM: Rerouting >> 8/18/2023 11:17:53 AM: Rerouting >> 8/18/2023 12:45:43 PM: fix co PI >> 9/6/2023 08:27:50 AM: Submitted >> 1/2/2025 01:04:03 PM: Funded as amendment P00009 on 23-0456-A0001.",2023-09-06 08:27:50,,2025-01-02 13:04:03,,"FY2024",,"FY2025",,2023-07-19 14:39:39,"FY2024",49,484,,"September-2023","Engineering","Q1 FY2024","Q3 FY2025","Federal","Others","Funded",0,1,1,910000
"23-0487-P0002","Bayesian Learning Consortium - Petróleo Brasileiro S.A.","Bayesian Learning Consortium","Dario Grana","School of Energy Resources Department","Under Consideration","ADD NEW",,"School of Energy Resources Directors Office","7/1/2024","6/30/2029","Other",,"23-0487",2024-06-28 16:27:58,250000,"7/5/2024 12:00:00 AM",,"Applied Research","7/1/2024 03:36:56 PM: Unsolicited. Industry Agreement. Draft Agreement provided to Sponsor. >> 3/12/2025 01:03:00 PM: From PI: Last week, I visited the company Petrobras and we have a verbal agreement. They want to start sponsoring the consortium this year. They think they have all the documents they need, but I provided them your contacts just to reiterate our interest and keep you in the loop.",2024-07-01 15:36:56,2025-03-12 13:03:00,,,"FY2025","FY2025",,,2024-06-28 16:27:58,"FY2024",3,,,"July-2024","School of Energy Resources","Q1 FY2025",,"Business","Others","Submitted",1,0,1,0
