"Award #","Project Title","Award Title","PI","PI Unit","Award Amount","Award Id","Award Notice Received","Increment Amount","Modification Number","Modification Type","Modification Date","Modified By","sponsor type","activity type","Increment_Amount_Obliged","History Action Date Parsed","Sponsor","Prime Sponsor","Instrument Type","Award Start Date","Award End Date","Admin Unit","Obligated Amount","Project #","Total Expected Amount","Anticipated Amount","Status","Created Date","Award Type","Award_Start_Month_Year","College/Division"
"23-0006-A0001-0","Weed Biology, Ecology, and Management in Sugarbeet",,"Andrew R. Kniss","Plant Sciences",,"93bddd9e-80e0-4d73-ba78-6a2ac54e93f8",,,0,"Original Award",,,,,"  183400.00000000000000000000000",,"Western Sugar Cooperative","Western Sugar Cooperative",,2012-04-01,"3/31/2026","Plant Sciences",183400,"23-0006",,,"Active","4/24/2023 06:18:10 PM",,"'Apr-12","Agriculture"
"23-0006-A0001-1","Weed Biology, Ecology, and Management in Sugarbeet",,"Andrew R. Kniss","Plant Sciences",,"93bddd9e-80e0-4d73-ba78-6a2ac54e93f8",,,1,"New Funding Increment","6/13/2024","Farrell Jean Rapp","Industry","Applied Research","   32500.00000000000000000000000",,"Western Sugar Cooperative","Western Sugar Cooperative",,2024-06-13,"4/30/2027","Plant Sciences",215900,"23-0006",215900,,"Active","6/13/2024 02:16:14 PM",,"'Jun-24","Agriculture"
"23-0006-A0001-2","Weed Biology, Ecology, and Management in Sugarbeet",,"Andrew R. Kniss","Plant Sciences",,"93bddd9e-80e0-4d73-ba78-6a2ac54e93f8",,,2,"New Funding Increment","4/18/2025","Farrell Jean Rapp","Industry","Applied Research","   28500.00000000000000000000000",2023-04-24 18:18:09,"Western Sugar Cooperative","Western Sugar Cooperative",,2025-04-18,"4/1/2029","Plant Sciences",244400,"23-0006",244400,,"Active","4/18/2025 03:16:34 PM",,"'Apr-25","Agriculture"
"23-0008-A0001-0","Sugar Beet Pest Management in the High Plains Region",,"Jean L. Williams-Woodward","Plant Sciences",,"914aea9e-e5cc-48f1-a929-4de0b7a9184c",,,0,"Original Award",,,,,"  166050.00000000000000000000000",,"Western Sugar Cooperative","Western Sugar Cooperative",,2012-12-01,"3/12/2025","Plant Sciences",166050,"23-0008",,,"Active","4/24/2023 06:18:16 PM",,"'Dec-12","Agriculture"
"23-0048-A0001-0","Predicting genotypic variation in growth and yield under abiotic stress through biophysical process modeling - 44% IC",,"Brent E. Ewers","Botany",,"95b16b10-6040-4bc2-95d4-9146b0095553",,,0,"Original Award",,,,," 3457977.00000000000000000000000",,"National Science Foundation","National Science Foundation",,2016-07-20,"8/31/2022","Botany",3457977,"23-0048",,,"Active","4/24/2023 06:20:32 PM",,"'Jul-16","Agriculture"
"23-0060-A0001-0","Survey, Recording and Evaluation of Archaeological Sites in the Patten Creek Drainage of the North Training Area, Camp Guernsey, Wyoming",,"Rick Laurence Weathermon","Anthropology",,"6245d6cb-a0de-4bb2-821d-7118d00a5cb5",,,0,"Original Award",,,,,"  396820.79999999998835846781731",,"Wyoming Military Department","Wyoming Military Department",,2016-09-22,"5/31/2023","Anthropology",396820.8,"23-0060",,,"Active","4/24/2023 06:21:15 PM",,"'Sep-16","Arts & Sciences"
"23-0066-A0002-0","Plant Species Verification and Checklists for Northern Great Plains Parks",,"Sienna A. Wessel","Wyo Natural Diversity Database",,"02ffcc64-96fe-4868-a580-67d5242fb9c3","7/18/2024",,0,"Original Award",,,"U.S. Federal Government","Applied Research","  129493.22999999999592546373606",,"National Park Service/Department of the Interior","National Park Service/Department of the Interior",,2024-07-18,"8/31/2028","Wyo Natural Diversity Database",129493.23,"23-0066",129493.23,,"Active","7/18/2024 09:32:13 AM",,"'Jul-24","Research & Economic Development"
"23-0096-A0001-0","Collaborative Research:  Prediction of a Red Nova Outburst in KIC 9832227",,"Henry A. Kobulnicky","Physics & Astronomy",,"8995cb90-752e-4681-8af5-e3082d3e974c",,,0,"Original Award",,,,,"  202834.00000000000000000000000",,"National Science Foundation","National Science Foundation",,2017-07-01,"6/30/2023","Physics & Astronomy",202834,"23-0096",,,"Active","4/24/2023 06:23:18 PM",,"'Jul-17","Engineering"
"23-0137-A0001-0","Follow-up Surveys of Climb Wyoming Graduates 15, 18, 21 and 24 Months After Graduation",,"Michael D. Dorssom","Wyoming Survey & Analysis Center",,"73bffb46-cfd6-47b6-9315-bfc24c928a26",,,0,"Original Award",,,,,"   36630.00000000000000000000000",,"Climb Wyoming","Climb Wyoming",,2018-01-01,"9/30/2023","Wyoming Survey & Analysis Center",36630,"23-0137",,,"Active","4/24/2023 06:25:37 PM",,"'Jan-18","Research & Economic Development"
"23-0137-A0001-1","Follow-up Surveys of Climb Wyoming Graduates 15, 18, 21 and 24 Months After Graduation",,"Michael D. Dorssom","Wyoming Survey & Analysis Center",,"73bffb46-cfd6-47b6-9315-bfc24c928a26",,,1,"New Funding Increment","3/19/2024","Tashina Lemons","Wyoming Local Governmental Entities","Other Sponsored Activity","    4146.00000000000000000000000",2023-04-24 18:25:36,"Climb Wyoming","Climb Wyoming",,2024-03-19,"4/1/2026","Wyoming Survey & Analysis Center",40776,"23-0137",40776,,"Active","3/19/2024 09:31:11 AM",,"'Mar-24","Research & Economic Development"
"23-0169-A0001-0","Evaluating the influence of wind energy on the movement, distribution, and habitat quality of pronghorn",,"Matthew Kauffman","Wyoming Coop Unit",,"e4eb020d-6b22-4a92-9153-d0a932d4f186",,,0,"Original Award",,,,,"  655571.00000000000000000000000",,"Wyoming Game and Fish Department","U.S. Fish & Wildlife Service/Department of the Interior",,2018-07-01,"6/30/2023","Wyoming Coop Unit",655571,"23-0169",,,"Active","4/24/2023 06:27:25 PM",,"'Jul-18","Agriculture"
"23-0173-A0001-0","Collaborative Research: Placing High-Redshift Quasars in Perspective: A Gemini Near-Infrared Spectroscopic Survey",,"Michael S. Brotherton","Physics & Astronomy",,"6ad21107-c440-4441-bfb7-ce0c9d7898cf","6/25/2018",,0,"Original Award",,,,,"  375753.00000000000000000000000",,"National Science Foundation","National Science Foundation",,2018-07-01,"6/30/2023","Physics & Astronomy",375753,"23-0173",,,"Active","4/24/2023 06:27:38 PM",,"'Jul-18","Engineering"
"23-0174-A0001-0","Western Regional Noyce Alliance (WRNA)",,"Andrea Carneal-Burrows Borowczak","College of Education Deans Office",,"afab89d6-fcf5-41b0-9072-edef6ee32b1c",,,0,"Original Award",,,,,"  180001.00000000000000000000000",,"San Francisco State University","National Science Foundation",,2018-04-15,"3/31/2023","College of Education Deans Office",180001,"23-0174",,,"Active","4/24/2023 06:27:41 PM",,"'Apr-18","Education"
"23-0178-A0001-0","Subsurface Structure and Flow Regime for Rocky Mountain Hillslopes with Different Geologies",,"Thijs J. Kelleners","Ecosystem Science & Management",,"ee29ed0c-5bd7-42a6-9375-4876bb09f809","6/21/2018",,0,"Original Award",,,,,"  568356.00000000000000000000000",,"National Science Foundation","National Science Foundation",,2018-07-01,"6/30/2023","Ecosystem Science & Management",568356,"23-0178",,,"Active","4/24/2023 06:27:54 PM",,"'Jul-18","Agriculture"
"23-0179-A0001-0","Drug Utilization Review and Pharmacy and Therapeutics (P&T) Committee Programs 2018-2021",,"Aimee L. Lewis","School of Pharmacy",,"7e986fb7-c0b7-43e0-9b34-1854f2ca7683",,,0,"Original Award",,,,," 1934368.00000000000000000000000",,"Wyoming Department of Health","Centers for Medicare and Medicaid Services/Department of Health and Human Services",,2018-07-01,"6/30/2023","Pharmacy",1934368,"23-0179",,,"Active","4/24/2023 06:27:58 PM",,"'Jul-18","Health Sciences"
"23-0184-A0001-0","eBOSS and DESI: LSS Catalogs, Targeting and Spectroscopic Contaminants",,"Adam D. Myers","Physics & Astronomy",,"bbbbdca8-6f23-4c44-9d56-debe20ea809d",,,0,"Original Award",,,,,"  445000.00000000000000000000000",,"U.S. Department of Energy","U.S. Department of Energy",,2018-05-01,"4/30/2024","Physics & Astronomy",445000,"23-0184",,,"Active","4/24/2023 06:28:15 PM",,"'May-18","Engineering"
"23-0184-A0001-2","eBOSS and DESI: LSS Catalogs, Targeting and Spectroscopic Contaminants",,"Adam D. Myers","Physics & Astronomy",,"bbbbdca8-6f23-4c44-9d56-debe20ea809d","9/13/2024",,2,"New Funding Increment","9/17/2024","Kristi Hargis Stockdale","U.S. Federal Government","Applied Research","  240000.00000000000000000000000",,"U.S. Department of Energy","U.S. Department of Energy",,2024-09-17,"3/31/2025","Physics & Astronomy",685000,"23-0184",685000,,"Active","9/17/2024 12:46:32 PM",,"'Sep-24","Engineering"
"23-0184-A0001-4","eBOSS and DESI: LSS Catalogs, Targeting and Spectroscopic Contaminants",,"Adam D. Myers","Physics & Astronomy",,"bbbbdca8-6f23-4c44-9d56-debe20ea809d","4/3/2025",,4,"New Funding Increment","4/7/2025","Evelyn Renee Kelley","U.S. Federal Government","Applied Research","       0.00000000000000000000000",2023-04-24 18:28:14,"U.S. Department of Energy","U.S. Department of Energy",,2025-04-07,"3/31/2026","Physics & Astronomy",685000,"23-0184",685000,,"Active","4/7/2025 03:49:03 PM",,"'Apr-25","Engineering"
"23-0188-A0001-0","Mixed-Phase Convective Clouds in the Polar Marine Boundary Layer",,"Bart Geerts","Atmospheric Science",,"a6a50c58-ae89-42de-87e4-944e619650cb",,,0,"Original Award",,,,,"  605455.00000000000000000000000",,"U.S. Department of Energy","U.S. Department of Energy",,2018-08-15,"8/14/2023","Atmospheric Science",605455,"23-0188",,,"Active","4/24/2023 06:28:28 PM",,"'Aug-18","Engineering"
"23-0192-A0001-0","LCCC Financial Contribution for Transit Service",,"Paul W. Kunkel","Transportation Services",,"cd3e7879-1e9f-4f04-a3e3-f54e09ce323e",,,0,"Original Award",,,,,"   50000.00000000000000000000000",,"Laramie County Community College","Laramie County Community College",,2018-10-01,"9/30/2024","Transportation Services",50000,"23-0192",,,"Active","4/24/2023 06:28:41 PM",,"'Oct-18","Campus Operations"
"23-0192-A0001-1","LCCC Financial Contribution for Transit Service",,"Paul W. Kunkel","Transportation Services",,"cd3e7879-1e9f-4f04-a3e3-f54e09ce323e","12/5/2024",,1,"New Funding Increment","1/6/2025","Farrell Jean Rapp","Institutions of Higher Education","Other Sponsored Activity","   25000.00000000000000000000000",2023-04-24 18:28:40,"Laramie County Community College","Laramie County Community College",,2025-01-06,"9/30/2025","Transportation Services",75000,"23-0192",75000,,"Active","1/6/2025 08:46:14 AM",,"'Jan-25","Campus Operations"
"23-0199-A0001-0","Laboratory Technician Support: Experimental Hydrogeophysics Technician",,"Andrew David Parsekian","Geology & Geophysics",,"2604e945-c64d-4f48-9e48-aa4212f53c09","8/16/2018",,0,"Original Award",,,,,"  716046.00000000000000000000000",,"National Science Foundation","National Science Foundation",,2018-09-01,"8/31/2023","Geology & Geophysics",716046,"23-0199",,,"Active","4/24/2023 06:29:05 PM",,"'Sep-18","Engineering"
"23-0207-A0001-0","Gaining Early Awareness and Readiness for Undergraduate Programs (GEAR-UP Wyoming) - Operating 2018-2019",,"Richard Wayne Matlock","Student Educational Opportunity",,"11c90198-23e1-4d6b-a101-532b66996783","7/10/2018",,0,"Original Award",,,,,"17735051.39999999850988388061523",,"Department of Education","Department of Education",,2018-09-26,"9/25/2021","Student Educational Opportunity",17735051.4,"23-0207",,,"Active","4/24/2023 06:29:32 PM",,"'Sep-18","Academic Affairs"
